01:38:20 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 0, X: 0, Y: 0)
01:38:26 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 15, X: 0, Y: 0)
01:38:51 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 15, X: 0, Y: 0)
01:39:10 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 15, X: 0, Y: 15)
01:39:29 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 15, X: 0, Y: 13)
01:39:45 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 1, X: 15, Y: 0)
01:40:03 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 5, X: 0, Y: 0)
01:40:19 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 5, X: 0, Y: 15)
01:40:59 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 1, X: 0, Y: 0)
01:41:09 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 2, X: 0, Y: 0)
01:43:28 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 1, X: 100, Y: 100)
01:44:07 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 5, X: 10, Y: 10)
01:46:26 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 6, X: 62, Y: 115)
01:46:42 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 6, X: 72, Y: 163)
01:47:11 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 9, X: 135, Y: 95)
01:52:28 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 18, X: 25, Y: 76)
01:55:58 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 8, X: 10, Y: 10)
01:56:11 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 9, X: 100, Y: 100)
01:56:24 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 10, X: 15, Y: 15)
01:56:35 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 11, X: 15, Y: 15)
01:56:45 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 12, X: 15, Y: 15)
01:56:56 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 13, X: 15, Y: 10)
01:57:08 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 14, X: 15, Y: 10)
01:57:20 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 16, X: 15, Y: 10)
01:58:09 [CommandGMMove][karutan94][Juan] - (Name: Juan, Map: 16, X: 15, Y: 20)
