01:09:57 [AccountInfo] Account connected (Account: karutan94, IpAddress: 26.127.118.103, GameServerCode: 0)
01:12:22 [AccountInfo] Account disconnected (Account: karutan94, IpAddress: 26.127.118.103, GameServerCode: 0)
01:13:15 [AccountInfo] Account connected (Account: karutan94, IpAddress: 26.127.118.103, GameServerCode: 0)
01:15:22 [AccountInfo] Account disconnected (Account: karutan94, IpAddress: 26.127.118.103, GameServerCode: 0)
01:26:52 [AccountInfo] Account connected (Account: karutan94, IpAddress: 26.127.118.103, GameServerCode: 0)
01:32:56 [AccountInfo] Account disconnected (Account: karutan94, IpAddress: 26.127.118.103, GameServerCode: 0)
01:34:52 [AccountInfo] Account connected (Account: karutan94, IpAddress: 26.127.118.103, GameServerCode: 0)
01:52:31 [AccountInfo] Account disconnected (Account: karutan94, IpAddress: 26.127.118.103, GameServerCode: 0)
01:54:44 [AccountInfo] Account connected (Account: karutan94, IpAddress: 26.127.118.103, GameServerCode: 0)
01:54:50 [AccountInfo] Account disconnected (Account: karutan94, IpAddress: 26.127.118.103, GameServerCode: 0)
01:55:43 [AccountInfo] Account connected (Account: karutan94, IpAddress: 26.127.118.103, GameServerCode: 0)
01:58:13 [AccountInfo] Account disconnected (Account: karutan94, IpAddress: 26.127.118.103, GameServerCode: 0)
02:03:06 [AccountInfo] Account connected (Account: karutan94, IpAddress: 26.127.118.103, GameServerCode: 0)
02:08:19 [AccountInfo] Account disconnected (Account: karutan94, IpAddress: 26.127.118.103, GameServerCode: 0)
